supplier_item,offered_price,qty
"Maison Luxe Lumiere Doree EDP 100",58.00,300
"M.Luxe - Noir Mystique 75ml edp",41.50,200
"Rose Eternelle 50 ml EDP (Floral Studio)",34.00,150
"OUD ROYALE edp 100ml - Arabian Ess.",92.00,120
"floral studio citrus bloom edt125",27.50,400
"Velvet Oud 50ml Arabian Essence EDP",70.00,100
"AquaMarine edt 100 - Blue Ocean",19.50,500
"Jasmine Soir e.d.p 75ml FloralStudio",36.00,180
"amber nights 100ml maison luxe",62.00,160
"Cedar and Smoke EDP 50 (Artisan)",52.00,90
"Glow Lab Vit-C Brightening Serum 30ml",17.50,250
"retinol night crm 50ml glowlab",24.00,200
"Hyaluronic Acid Moisturiser 50 - HydraLux",16.00,300
"SPF 50 sunscreen 100ml SunShield",13.00,400
"collagen eye-cream 15ml hydra lux",22.50,150
"Matte Lipstick Collection 12pc - Colour Story",48.00,100
"HD Foundation spf15 30ml ColourStory",21.00,220
"Volumising Mascara 12 ml (Lash Queen)",13.50,300
"Argan Oil Hair Serum 100ml SilkShine",16.00,260
"Keratin Shampoo 300 ml - Silk and Shine",13.50,300
"Mystery Bloom Eau Fraiche 60ml NoBrand",24.00,80
